BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
«Apertura del Festival de Cine de Berlín sin tensiones políticas». El País. Madrid: Diario El País, S.A., 1980-02-20.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	En El precio de sobrevivir, el alemán Hans Noever narra una historia de un empleado de una empresa de electrónica que, tras recibir la carta de despido que le da una computadora, mata a los cinco jefes responsables de la máquina. La policía le interna, no como asesino, sino como loco. «Es la historia», dice el director, «de un hombre cuyo trabajo está marcado simplemente por las especulaciones de
Gioja, Rolando I.: Planeamiento educativo. Fundamentos geográficos, Ecología Social, y Economía en los niveles medio y superior de la educación. Buenos Aires: Paidós, 1980.	Gioja, Rolando I.	Planeamiento educativo. Fundamentos geográficos, Ecología Social, y Economía en los niveles medio y superior de la educación	1980	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Argentina	Río de la Plata		Mayúsculas sin acentuar	Así ocurre también que la educación tecnológica conformará de hecho o simbólicamente grupos humanos identificables según sus preferencias, sus motivaciones o actividades específicas, como ocurre con la electrónica o con diversos equipos técnicos profesionales.
Castilla del Pino, Carlos: Introducción a la psiquiatría, 2. Psiquiatría general. Psiquiatría clínica. Madrid: Alianza, 1992.	Castilla del Pino, Carlos	Introducción a la psiquiatría, 2. Psiquiatría general. Psiquiatría clínica	1980	Primera edición	No ficción	Escrito	Libro	Salud	España				otra naturaleza distinta. Esto me hacía pensar que era de otro mundo.» Por la calle se notaba observado, incluso a veces perseguido, sin que pudiera precisar las razones.En la entrevista se muestra reticente, suspicaz, pero se consigue entablar con él una conversación relativamente sistemática. «Me gustaría inventar algo de electrónica para evitar interferencias, porque éstas no me dejan estudiar. Oigo voces, como de un susurro, 'José, José', pero luego se transforman en órdenes, me dicen qué tengo que hacer y cuándo van a venir por mí.» «Yo soy de otro mundo, fui reencarnado en el vientre de
Zaragoza, Juan Ramón: Concerto Grosso. Barcelona: Destino, 1981.	Zaragoza, Juan Ramón	Concerto Grosso	1981	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Eugenio Nadal 1980	No existían datos concretos, por supuesto, pero meses atrás la señorita Patricia O'Malley, periodista experta en electrónica, se había introducido como operaria especializada en las fábricas Para y había podido ascender hasta poder husmear algo de lo que le intrigaba, las investigaciones realizadas en el laboratorio secreto. Curiosamente fue encontrada poco después con el pelo en desorden, semidesnuda y sucia, paseando por un jardín público cercano a su apartamento, con la
Zaragoza, Juan Ramón: Concerto Grosso. Barcelona: Destino, 1981.	Zaragoza, Juan Ramón	Concerto Grosso	1981	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Eugenio Nadal 1980	— Marcos, tú que conoces todo este mundo de la electrónica, ¿hay posibilidad de borrar la mente?
Zaragoza, Juan Ramón: Concerto Grosso. Barcelona: Destino, 1981.	Zaragoza, Juan Ramón	Concerto Grosso	1981	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Eugenio Nadal 1980	— Sé que es mucho pedirte, Marcos. Pero necesito dos cosas. Tú eres uno de los mejores técnicos de telecomunicaciones del país, y lo sabes. Quiero que me enseñes algo de electrónica; que me dejes unos libros elementales y me des algunas explicaciones. Lo justo para tener una base y poder trabajar como operaria en las Industrias Para. Y luego quiero que me recomiendes allí. Eso es todo.
Zaragoza, Juan Ramón: Concerto Grosso. Barcelona: Destino, 1981.	Zaragoza, Juan Ramón	Concerto Grosso	1981	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Eugenio Nadal 1980	— De acuerdo, Melania. Te enseñaré rápidamente lo fundamental de la electrónica. Y te recomendaré.
Zaragoza, Juan Ramón: Concerto Grosso. Barcelona: Destino, 1981.	Zaragoza, Juan Ramón	Concerto Grosso	1981	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Eugenio Nadal 1980	es que Industrias Para llegó a realizar muchos equipos de interés en parapsicología, como unidades con miniordenador para estudiar propiedades telepáticas, cabinas de estudio de la influenciabilidad de los sueños, medidores de intensidad de la telecinesia, etc. Pero en realidad estos equipos tan especializados tuvieron poca salida, y por ello la empresa derivó a una electrónica general con cierta predilección biomédica. En esta esfera han trabajado en el tratamiento electrónico del dolor, en la obtención de prótesis por impulso nervioso, en injertos artificiales de nervios y en otros muchos temas. Hoy, precisamente, han presentado un aparato de programación del sueño que es una verdadera novedad en su campo
Zaragoza, Juan Ramón: Concerto Grosso. Barcelona: Destino, 1981.	Zaragoza, Juan Ramón	Concerto Grosso	1981	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Eugenio Nadal 1980	Dos semanas de adiestramiento intenso proporcionaron a Melania una base elemental de electrónica: su inteligencia y su capacidad de trabajo permitieron un resultado aceptable. Y, de pronto, una llamada de las Industrias Para ofreciendo a Marcos un contrato para desarrollar una investigación electrónica sobre un tema muy concreto de retrotransmisión de información por televisión. Una condición por parte de la empresa: secreto absoluto y aislamiento dentro de
Zaragoza, Juan Ramón: Concerto Grosso. Barcelona: Destino, 1981.	Zaragoza, Juan Ramón	Concerto Grosso	1981	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Eugenio Nadal 1980	— Mira, Marcos. Me conoces muy bien. Estamos aquí con una misión; sabes que no me apasiona precisamente la electrónica. Mientras trabajas en el laboratorio yo vigilo constantemente y salgo todo lo que puedo para ver si encuentro pistas. ¿Sabes? Bueno, los vi subir a una furgoneta cerrada, sin ninguna identificación. Iban tan contentos, sonriendo, gastándose bromas y dándose palmaditas, como suelen. Pero el hecho es que
«Con aire de liderazgo». Revista Hoy. Chile: 1981-01-13.		Revista Hoy	1981	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	ELECTRÓNICA
«UN MARCO CONCEPTUAL SOBRE CIENCIA, TECNOLOGÍA Y DESARROLLO». Sagasti, Francisco R.: Ciencia, tecnología y desarrollo latinoamericano. Mxico D.F.: Fondo Cultura Econmica, 1981.	Sagasti, Francisco R.	Ciencia, tecnología y desarrollo latinoamericano	1981	Primera edición	No ficción	Escrito	Libro	Ciencias y tecnología	Perú	Andina		Artículo publicado en la revista Interciencia, vol 2, nº4 (1997)	que culminarían con el desarrollo de la bomba atómica, así como de la expansión de la producción de materiales sintéticos como resultado de la investigación química. Por último, el periodo de la segunda Guerra Mundial y la época de la posguerra pueden ser caracterizados como la era de la explosión científica, en la cual los avances en electrónica, biología, química, cibernética y en muchos otros campos entronizaron a la actividad científica como principal fuente de técnicas de producción. En los países de acervo científico-tecnológico endógeno todo esto fue acompañado por un aumento en la masa crítica mínima de recursos necesarios para hacer ciencia y por una expansión sin precedentes en la magnitud del
«i. Introducción». Sagasti, Francisco R.: Ciencia, tecnología y desarrollo latinoamericano. Mxico D.F.: Fondo Cultura Econmica, 1981.	Sagasti, Francisco R.	Ciencia, tecnología y desarrollo latinoamericano	1981	Primera edición	No ficción	Escrito	Libro	Ciencias y tecnología	Perú	Andina		Tomado de Ciencia y tecnología para el desarrollo. Informe comparativo central del Proyecto STPI, Bogotá, 1978	marcha del equipo, y los servicios de reparación, mantenimiento y reacondicionamiento. También actúan como asesores en la elección de técnicas, inducen actualizaciones técnicas y en general afectan el ritmo y la orientación del proceso de difusión en campos como la industria de transformación del metal, la de bienes de capital y la electrónica.
«Marshall McLuhan, canadiense, famoso teórico de la comunicación, falleció anteayer en su país mientras dormía. Autor de un célebre aforismo (el medio es el mensaje), McLuhan fue uno de los profetas más polémicos de la comunicación humana. Su obra abrió un debate que aún persiste sobre la influencia de los modernos medios de comunicación en el hombre de la sociedad posindustrial. Dedicó toda su vida a ser coherente con esta frase suya: «La mayoría de las personas viven en una época anterior, pero uno debe vivir en su propio tiempo». La suya fue una gran pasión por la escritura y por la comunicación oral. Había nacido en Edmonton (Canadá), hace 69 años. Dos interpretaciones sobre la obra de McLuhan y un texto de este último completan esta doble página». El País. Madrid: Diario El País, S.A., 1981-01-02.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	A pesar de que consideraba que la electrónica tiende a descartar a los medios de comunicación de la palabra escrita, McLuhan escogió el libro, los periódicos y revistas para transmitir su mensaje, y consiguió así convertirse en un oráculo de la era de la comunicación, afirmando que la única forma de controlar a los medios de comunicación es mediante la comprensión pública de
«Electrónica, informática y telecomunicaciones en España: se nos escapa el futuro». El País. Madrid: Diario El País, S.A., 1981-01-02.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	Electrónica, informática y telecomunicaciones en España: se nos escapa el futuro
«Electrónica, informática y telecomunicaciones en España: se nos escapa el futuro». El País. Madrid: Diario El País, S.A., 1981-01-02.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	No obstante, pretendemos lanzar una llamada de atención sobre el presente y el futuro de ese apasionante sistema de vasos comunicantes formado por las telecomunicaciones, la electrónica y la informática en España. Para remediar los males ya existentes y, sobre todo, para evitar su futuro agravamiento, que conduciría, una vez más, a la catástrofe.
«Electrónica, informática y telecomunicaciones en España: se nos escapa el futuro». El País. Madrid: Diario El País, S.A., 1981-01-02.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	Estas esquemáticas reflexiones de tipo general son de aplicación indiscutible, al menos en un caso de especial importancia: el tratamiento recibido hasta la fecha por las telecomunicaciones, la electrónica y la informática.
«Electrónica, informática y telecomunicaciones en España: se nos escapa el futuro». El País. Madrid: Diario El País, S.A., 1981-01-02.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	algunos equipamientos triunfalistas de material electrónico sofisticado en las residencias de la Seguridad Social y la mítica presencia del ordenador en los inventarios de cachivaches infrautilizados en muchos ministerios. Pero la realidad de este sector es mucho más compleja y dinámica. Muy pocos expertos dudan, a nivel internacional, de que los avances en telecomunicaciones, electrónica e informática van a condicionar de forma esencial el futuro de las sociedades desarrolladas, y hasta los menos propensos a hacer concesiones a la galería hablan de una nueva revolución industrial, e incluso de una nueva era. (La aparición del «desafío mundial», del siempre polémico J. J. Servan Schreiber, ilustrará sin duda
«Electrónica, informática y telecomunicaciones en España: se nos escapa el futuro». El País. Madrid: Diario El País, S.A., 1981-01-02.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	polémico J. J. Servan Schreiber, ilustrará sin duda este proceso). Su influencia va a voltear, desde los procesos productivos hasta la cotidiana vida hogareña, pasando por los servicios sociales (educación, sanidad). Es decir, cualquier proyecto que pretenda aumentar el bienestar individual y colectivo va a pasar necesariamente por una masiva utilización de la electrónica, como hasta ahora ha ocurrido, por ejemplo, con los materiales férreos y la energía. Téngase en cuenta que está declinando la etapa en la que el hombre ha luchado por complementar su fuerza física (motores, grandes máquinas, etcétera) y comienza ya la carrera en pos de ampliar y complementar las capacidades mentales (
«Electrónica, informática y telecomunicaciones en España: se nos escapa el futuro». El País. Madrid: Diario El País, S.A., 1981-01-02.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	– Si, en caso afirmativo, se tiene consciencia de que esa senda implica ineludiblemente apostar fuerza al sector de las telecomunicaciones, la electrónica y la informática.
«España gastará 23.000 millones de pesetas en sonido y alta fidelidad en 1981». El País. Madrid: Diario El País, S.A., 1981-01-03.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	La industria de la electrónica de consumo, que ocupa en España a unos 17.000 trabajadores y tiene un mercado interno con escaso índice de saturación, ha suscrito con los ministerios de Industria y Comercio un importante plan de relanzamiento sectorial y de inversiones como respuesta a la «amenaza amarilla». Las importaciones de Japón y del sureste asiático habían comprometido
«España gastará 23.000 millones de pesetas en sonido y alta fidelidad en 1981». El País. Madrid: Diario El País, S.A., 1981-01-03.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	y de televisión en color). Mientras los representantes del sector negociaban con el Ministerio de Industria y Energía, a petición de éste, un plan de reordenación y relanzamiento industrial, la Dirección General de Política Arancelaria e Importación, del Ministerio de Comercio, liberalizaba la importación de una amplia gama de productos de electrónica de consumo (resolución publicada en el Boletín Oficial del Estado del 3 de mayo de 1979).
«España gastará 23.000 millones de pesetas en sonido y alta fidelidad en 1981». El País. Madrid: Diario El País, S.A., 1981-01-03.		El País	1981	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	El plan de reestructuración y relanzamiento del sector, que prevé el mantenimiento de los 17.000 puestos de trabajo de las industrias de electrónica de consumo, ha sido suscrito por las firmas Cosmo, Bettor, Vanguard, Faro, Hispano-Sony, Sanyo, Thomson, National y Grunding. Todas estas firmas han comprometido con el Ministerio de Industria importantes planes de inversión y producción, que van a garantizar el suministro al mercado de la mayor parte de los equipos
Vilalta, Maruxa: Una mujer, dos hombres y un balazo. México: Fondo Cultura Económica, 1989.	Vilalta, Maruxa	Una mujer, dos hombres y un balazo	1981	Fecha de escritura	Ficción	Escrito	Libro	Teatro	México	México y Centroamérica		Aunque la obra incluye cuatro piezas cortas, en el presente texto las cuatro tienen relación con otros cuadros, por tanto la tratamos como una única obra. Obra en diez cuadros.	Señor Bertrand: Pero eso es fantástico, mi querida señora, ¡fantástico! ¡Ahora que todo el mundo se preocupa por la electrónica, las máquinas de vapor serán un verdadero descubrimiento.
«Alguien contento con el Mundial». ABC. Madrid: Prensa Española, S.A., 1982-09-27.		ABC	1982	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	Uno de los escasos —¿el único?— sectores que no se quejan del Mundial de Fútbol es el de la electrónica. El 80 por 100 de los 15.000 millones que en números redondos contrató RTVE para estudios, enlaces, etc. fueron suministrados por la industria española. Los industriales del sector se muestran satisfechos, no sólo por las cifras, sino porque han demostrado de lo que son capaces teniendo en cuenta que competían en calidad y
«Alguien contento con el Mundial». ABC. Madrid: Prensa Española, S.A., 1982-09-27.		ABC	1982	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	cifras, sino porque han demostrado de lo que son capaces teniendo en cuenta que competían en calidad y precio con sus compañeros de allende las fronteras. Ahora con la experiencia y el «know-how» adquiridos se están dedicando a la exportación de algunos elementos. En el Salón Internacional de la Imagen, el Sonido y la Electrónica, «Sonimag» que abrirá sus puertas en Barcelona entre los días 27 de septiembre al 3 de octubre van a estar presentes estos empresarios sacando pecho, porque la crisis en este sector parece que no ha llegado o se lleva con mejor talante.
«El oro no es una inversión de lujo». ABC. Madrid: Prensa Española, S.A., 1982-09-27.		ABC	1982	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	Sus usos más frecuentes son en joyería, 20 por 100; lingotes, 25 por 100; odontología, electrónica, otros usos industriales y decorativos, 20 por 100; compras por Bancos Centrales, 20 por 100, y monedas de curso legal, 15 por 100.
«El decálogo del oro». ABC. Madrid: Prensa Española, S.A., 1982-10-04.		ABC	1982	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	6. La distribución del consumo de oro entre los distintos usos, excluyendo las reservas que tiene cada país, es la siguiente: el 58 por 100 se utiliza en joyería en inversiones en lingotes, 15 en monedas oficiales, 5 en odontología, 4 en electrónica, 4 en otros usos industriales y el 3 por 100 restante en medallas.
«Ella es Paloma Siles, de diecisiete años, y futura cantante de ópera; ahora trabaja en «El sonido de la música»». ABC. Madrid: Prensa Española, S.A., 1982-10-11.		ABC	1982	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Teddy es canario, cantó y tocó con Los Canarios, uno de los mejores grupos que ha conocido la música española. Teddy ha compuesto canciones para diversos cantantes. Un buen día recibió una beca para estudiar electrónica en Alemania, y desde entonces es uno de los más brillantes experimentalistas de esta especialidad. También se dedica a la comedia musical. Ahora escribe una, precisamente, con el escritor y dramaturgo Jaime Salom, y es el director musical de «My fair lady». Tiene treinta y ocho años.
