BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
Caballero Bonald, José Manuel: Toda la noche oyeron pasar pájaros. Barcelona: Planeta, 1988.	Caballero Bonald, José Manuel	Toda la noche oyeron pasar pájaros	1981	Fecha de escritura	Ficción	Escrito	Libro	Novela	España			Premio Ateneo de Sevilla 1981	El viejo Leiston no creyó oportuno corroborar una presunción tan aleatoria y se fue detrás de mamá Paulina. Sintió de pronto como el aleteo de un pájaro, una gaviota enferma quizás, encima mismo de su cabeza. Pero no miró: supuso que había rebasado el nivel vínico de las acústicas imaginarias y se adelantó a abrir la puerta del barracón. No bien entraron, les saltó a la cara un vaho de procedencia indescriptible y un despiadado olor a drenaje de barco. Mamá Paulina se acercó a la trabanca que hacía las veces de mostrador. Unos pescadores le hicieron sitio con una celeridad más bien grotesca y
«II Otoño Musical en Cáceres». ABC. Madrid: Prensa Española, S.A., 1982-10-04.		ABC	1982	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	Es de un gran encanto la segunda, la «Danza del trigo», con melodía de sabor popular, presentada por la flauta, recogida por el trompa y mimada por «pizzicatos» de la cuerda que completa la tierna y sugerente frase. También me atrajo la danza final «Malambo», aunque la acústica de San Francisco en los pasajes fuertes y vivos, con juego de acentos, emborrona el resultado. La instrumentación es rica y seductora. Odón Alonso presentó la obra con un animador que impulsa, estimula y vive esta música con el gesto y el contoneo.
Rosales Barrera, Susana; Reyes Gómez, Eva: Fundamentos de enfermería. México D.F.; Santafé de Bogotá: El manual moderno, 1999.	Rosales Barrera, Susana; Reyes Gómez, Eva	Fundamentos de enfermería	1982	Primera edición	No ficción	Escrito	Libro	Salud	México	México y Centroamérica			corrientes de aire, iluminación natural o artificial suficiente; temperatura ambiente que oscile entre 17 a 21 °C en salas generales y de 25 a 32 °C si se trata de unidades de pediatría, quirúrgicos o de obstetricia; humedad ambiental entre 30 y 40%; sistemas de comunicación (interfono, teléfono, etcétera); acústica o aislamiento de ruidos por medio de materiales aislantes de ruidos, protectores de hule; equipos de fabricación sencilla, de fácil manejo y limpieza, instalaciones eléctricas y de suministro de gases, suficientes y necesarias para la conexión de los diferentes aparatos.
Benedetti, Mario: Primavera con una esquina rota. Madrid: Alfaguara, 1994.	Benedetti, Mario	Primavera con una esquina rota	1982	Primera edición	Ficción	Escrito	Libro	Relato	Uruguay	Río de la Plata			EXILIOS (La acústica de Epidauros)
Benedetti, Mario: Primavera con una esquina rota. Madrid: Alfaguara, 1994.	Benedetti, Mario	Primavera con una esquina rota	1982	Primera edición	Ficción	Escrito	Libro	Relato	Uruguay	Río de la Plata			de eternidad y enigmay también yo bajé al centro mágico de la orquestapara que luz me tomara la foto de rigoren paraje de tan bienquista y sólida memoriay desde allí quise probar la extraordinaria acústicay pensé hola líber hola héctor hola raúl hola jaimebien despacito como quien rasguea un fósforo o arruga un boletoy así pude confirmar que la acústica era óptimaya que mis sigilosas salvas no sólo se escucharon en las graderíassino más arriba en el aire con un solo pájaroy atravesaron el peloponeso y el jónico y el tirrenoy el mediterráneo y el atlántico y la nostalgiay por fin se colaron por entre los barrotescomo una brisa transparente y seca
Aguilera, Nuri: La caricia rota. México D.F.: Lince Editores, 1983.	Aguilera, Nuri	La caricia rota	1983	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica			Sus pasos resonaban con una acústica perfecta: era el único ruido y el tictac acompasado del reloj. Se movieron las hojas de los árboles muy levemente. El claustro, era interminable. De pronto, un golpe seco cerró la puerta  hacia donde Ana se dirigía. No hubo ya ninguna claridad indicadora. Sombras totales y negras. Siguió caminando.
Aguilera, Nuri: La caricia rota. México D.F.: Lince Editores, 1983.	Aguilera, Nuri	La caricia rota	1983	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica			era el único ruido y el tictac acompasado del reloj. Se movieron las hojas de los árboles muy levemente. El claustro, era interminable. De pronto, un golpe seco cerró la puerta  hacia donde Ana se dirigía. No hubo ya ninguna claridad indicadora. Sombras totales y negras. Siguió caminando. Ahora la acústica tomaba también los latidos alocados de su corazón. Cristian estaría por llegar y ella le llamaría. Pero sintió más miedo aún de sólo pensar en dar un grito en ese negro silencio. Trató de correr, pero sus piernas no obedecían. Por fin, logró llegar a la puerta. Trató de abrirla desesperadamente y la
«JUAN VERNET GINES». Vernet, Juan: Historia de la Física hasta el siglo XIX. Madrid: RACEFN, 1983.	Vernet, Juan	Historia de la Física hasta el siglo XIX	1983	Primera edición	No ficción	Escrito	Libro	Ciencias y tecnología	España				4. Acústica
«Julio Iglesias». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				Ha declinado una invitación para ofrecer un concierto en la sede de las Naciones Unidas por considerar que la acústica y la iluminación de la sala de la Asamblea General no son buenas. Los representantes del cantante inspeccionaron el hemiciclo donde han actuado Montserrat Caballé, Plácido Domingo, José Carreras y Elton John, entre otros, y al parecer decidieron que las condiciones eran insatisfactorias.
«ENRIQUE FRANCO». El País. Madrid: Diario El País, S.A., 1984-06-02.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				del Museo del Prado. Si el clave de Puyana (de dos teclados, copia de un original de Hieronymoos Albrecht Hass (1734) realizada por Goble e hijo, de Oxford) demostró una extraordinaria belleza sonora, la nueva sala evidenció cómo favorece la presencia, difusión y definición del sonido gracias a su espléndida acústica. Las versiones de Rafael Puyana fueron ejemplares, y aún más: inspiradas, si se entiende con justeza el término. La Suite del francés Louis Marchand (1669-1732) nos lleva inevitablemente hasta las suites de Juan Sebastián (1685-1750), por la estructura y el estilo, aun cuando cultiven un mayor gusto decorativista. Después,
Valladares, Armando: Contra toda esperanza. Barcelona: Plaza & Janés, 1987.	Valladares, Armando	Contra toda esperanza	1985	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Cuba	Antillas		Introducción	Un grito horroroso nos despertó sobresaltados, retumbó en el pasillo, que tenía una acústica tremenda, y de inmediato se escucharon carcajadas, gritos y frases incoherentes... ¡Habían metido a dos locos en aquellas celdas! Con la llegada de estos infelices íbamos a despertar bruscamente muchas otras madrugadas. Los dos presos comunes, perdidos en las tinieblas de sus mentes desquiciadas, eran un ingrediente más para desequilibrar las nuestras
Valladares, Armando: Contra toda esperanza. Barcelona: Plaza & Janés, 1987.	Valladares, Armando	Contra toda esperanza	1985	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Cuba	Antillas		Introducción	las noches más agradables contándonos películas que recordaba con asombrosa fidelidad. Pequeñito de estatura, menudo de cuerpo, tenía sin embargo una voz fuerte que le permitía, estando de pie detrás de la tapia de la celda, hacerse escuchar por todos. El local, cerrado, con las puertas metálicas, tenía una buena acústica. Estebita imprimía un interés y riqueza tal a sus relatos, tan minuciosos en detalles, que todavía hoy se confunden en mi memoria películas que vi en realidad con las que contaba él.
García Márquez, Gabriel: El amor en los tiempos del cólera. Madrid: Mondadori, 1987.	García Márquez, Gabriel	El amor en los tiempos del cólera	1985	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental			El encuentro le espantó el sueño. En vez de llevar a Leona Cassiani en el coche, la acompañó a pie a través de la ciudad vieja, donde sus pasos resonaban como herraduras de caballería sobre los adoquines. A veces se escapaban retazos de voces fugitivas por los balcones abiertos, confidencias de alcobas, sollozos de amor magnificados por la acústica fantasmal y la fragancia caliente de los jazmines en las callejuelas dormidas. Una vez más, Florentino Ariza tuvo que apelar a todas sus fuerzas para no revelarle a Leona Cassiani su amor reprimido por Fermina Daza. Caminaban juntos, con sus pasos contados, amándose sin prisa como novios viejos, ella pensando en las gracias de Cabiria
Caballero, Cristián: Cómo educar la voz hablada y cantada. México: Edamex, 1994.	Caballero, Cristián	Cómo educar la voz hablada y cantada	1985	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	México	México y Centroamérica			porque en realidad no están produciendo ningún sonido válido. El cantante verdadero, lo mismo que el verdadero orador o actor, no necesita micrófono; su voz, correctamente proyectada, "corre" sin problemas, como lo demuestra el hecho de que frecuentemente se lleven a cabo funciones de ópera en enormes teatros descubiertos, cuya acústica es difícil. En la vieja plaza de toros de México, en 1919, cuando no se inventaba aún los micrófonos, Enrico Caruso se hizo oír de auditorios que llenaban totalmente el coso, inclusive el redondel.
«Jackson Browne, mucho más que el amigo del «Boss»». ABC. Madrid: Prensa Española, S.A., 1986-10-14.		ABC	1986	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	Aunque es cierto que la acústica del Palacio es una de las más nefastas del país, el escenario ha sido modificado para esta actuación. El sonido estará colgado en el techo, enfocándolo hacia el público de forma que no rebote en la pared del fondo.
«Jackson Browne, mucho más que el amigo del «Boss»». ABC. Madrid: Prensa Española, S.A., 1986-10-14.		ABC	1986	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	El suicidio de su esposa le llevó a realizar su mejor obra, «The Pretender», un trabajo lleno de oscuridad, de negra belleza y de amargura. Pero Browne salió del pesimismo, cambió su acústica por la eléctrica y ahora canta «por América» mientras llena los pabellones y los entendidos se matan por verle y oírle. Está empezando a ser mito y él no lo sabe. Cree que es sólo el amigo del «Boss», pero es más, mucho más, casi su rival...
Hernáiz, Juan Ignacio: Teoría, historia y sociología del arte. Madrid: Prensa y Ediciones Iberoamericanas, 1986.	Hernáiz, Juan Ignacio	Teoría, historia y sociología del arte	1986	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				el prolífico arte hindú, detallado como en ese maravilloso crisol de religiones y razas, una sola civilización ha tomado formas diversas: cultura védica de los dravidianos, brahamanismo de la sociedad melánida, jinismo de la colectividad indoeuropea, estética de la reforma budista, historia del arte islámico en el subcontinente, plástica sjik, acústica hindú e impronta occidental.
«Homenajes a Villa-Lobos y Ravel en el Festival de Música del siglo XX». ABC. Madrid: Prensa Española, S.A., 1987-11-13.		ABC	1987	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	miembros del grupo LIM —Laboratorios de Interpretación Musical— y uno por la Asociación Musica Verticale, de Roma. Se trata de una asociación que nace en 1977 con el fin de difundir la música contemporánea, especialmente la ligada a las técnicas de producción electrónica, y de promover la investigación en el campo de la acústica, psicoacústica y electroacústica. Dentro del Festival de Música, actuarán el día 17, dirigidos por Mauro Bagella y Serena Tamburini y estrenando obras de Nicola Bernardini, Enrico Cocco, Nicola Sani, y de los propios Serena Tamburini y Mauro Bagella.
«El nuevo Conservatorio de Música de Oviedo, con problemas de sonorización». ABC. Madrid: Prensa Española, S.A., 1987.		ABC	1987	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	El arquitecto responsable de la remodelación del edificio, Javier Calzadilla, considera que las quejas se deben a «el intento de ciertos profesores de salvar sus incompetencias escudándose en el edificio», y añade que el problema de la acústica se resolverá, porque entra dentro de la garantía que tienen las nuevas obras.
Naranjo, Carmen: El caso 117.720. San José: Costa Rica, 1987.	Naranjo, Carmen	El caso 117.720	1987	Primera edición	Ficción	Escrito	Libro	Novela	Costa Rica	México y Centroamérica		Mayúsculas no acentuadas.	conciencia de tareas y buenos comportamientos. Otros se arrinconan en cualquier sitio a comentar películas y partidos de futbol. Dos se quedan bajo un árbol, rodeado de gotas que caen veloces por sus orillas como si fuera un paraguas verde, y filtrado por otras más lentas que recorren un trecho redondeándose para caer con la acústica retardada del goteo.
«¿QUIÉN CAMINA POR ESTOS TÚNELES?». Clarín. Buenos Aires: 1987-11-21.		Clarín	1987	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	Argentina	Río de la Plata		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Su singular acústica, no obstante, genera una particular dosis de suspenso en los peatones. Sumando el eco que produce el taconeo y el intenso olor reinante, no es exagerado asegurar que la travesía por él parezca interminable, aun cuando dura unos pocos segundos.
«ARMANDO DURAN». Durán Miranda, Armando: Historia de la Física en el siglo XIX. Madrid: RACEFN, 1987.	Durán Miranda, Armando	Historia de la Física en el siglo XIX	1987	Primera edición	No ficción	Escrito	Libro	Ciencias y tecnología	España				En la universidad de Bonn se dedicó principalmente a la acústica, publicando en 1858 un trabajo fundamental sobre las causas físicas de la armonía musical. En este mismo año se trasladó a Heidelberg y allí, con Bunsen y con Kirchhoff, de los que más tarde hablaremos, contribuyó a una de las etapas más brillantes y fecundas de dicha universidad. Recordemos el teorema Helmholtz-Kirchhoff, que
«El flautista de Hamelin, en el Bernabéu». El País. Madrid: Diario El País, S.A., 1987-12-01.		El País	1987	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	España				sus deliciosas melodías... Ahora parece que los flautistas se han modernizado, trabajan en equipo y se ventilan millones. Antes eran preciosas melodías que encantaban a los ratones y a los niños; desde hace algunas décadas, por el contrario, son las estridencias monótonas y monocordes con ecos tribales y con los máximos decibelios de la acústica electrónica y demás artilugios, los que enervan y provocan griteríos, contorsiones generalizadas entre gimnásticas y circenses, cercanas al payasismo, y lo que moviliza en masa y por simpatía a los jóvenes de todas las latitudes. Desde el compás de los elegantes valses románticos, y modos recatados de los carrozas, pasando por los
López-Pumarejo, Tomás: Aproximación a la telenovela: Dallas / Dinasty / Falcon Crest. Madrid: Cátedra, 1987.	López-Pumarejo, Tomás	Aproximación a la telenovela: Dallas / Dinasty / Falcon Crest	1987	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas.	hibridado con elementos que proceden de espectáculos de índole menos narrativa, tales como el music-hall. Owen Davis, un autor de melodramas que inició su carrera en 1902, explica, según citado por Fell, que tenía que escribir «más para el ojo que para el oído:» por un lado las dimensiones y la mala acústica de los teatros no permitían que todo el público pudiera escuchar a los actores, y por otro, buena parte de la audiencia, siendo inmigrante, no podría entender el idioma. «e hice que cada emoción se convirtiera en acción, utilizando el diálogo sólo para expresar los nobles sentimientos tan caros a este tipo de
«Un discreto concierto remió a tres generaciones de «pop»». ABC. Madrid: Prensa Española, S.A., 1989-05-01.		ABC	1989	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Versión realizada sobre texto marcado HTML. Mayúsculas acentuadas irregularmente.	Sus textos líricos envueltos en instrumentaciones épicas arraigaron en los espíritus sensibles y lograron cierta repercusión hará cuatro años, cuando la acústica de U2 o The Smiths eran la norma.
«Las solicitudes podrán hacerse hasta el próximo 29 de mayo». ABC. Madrid: Prensa Española, S.A., 1989-05-05.		ABC	1989	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	Tres bloques de conciertos. Cincuenta y un programas. Variedad y presencias de relieve. Especial atención a los conjuntos de cámara nacidos en el seno de la ONE, por lo que benefician a ésta. Posibilidad de llevar algún programa de acústica, poco adecuada para la de la sala II, a la grande, si está disponible, así como algún recital pianístico.
«Pese a la lluvia no se aguó la fiesta». ABC. Madrid: Prensa Española, S.A., 1989-08-06.		ABC	1989	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				la insistente lluvia que cayó durante toda la tarde de ayer sobre Perelada, no pudo celebrarse el concierto de la soprano Montserrat Caballé y el tenor José Carreras en la plaza del pueblo, como estaba previsto, y el acto se tuvo que trasladar a la iglesia parroquial de Sant Martí, que se encontraba abarrotada, y cuya acústica deja mucho que desear. Pese a estas imprevistas condiciones de sonido, el recital fue todo un éxito.
«Izenour: «Me parece una extravagancia»». ABC. Madrid: Prensa Española, S.A., 1989-08-23.		ABC	1989	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				Queda pendiente el tema de la acústica. En cuanto a su tratamiento, Izenour se limita a llamar la atención sobre el hecho de que la sala, tal como existe ahora, tiene un punto muy alto de reverberación «que se acopla mejor a la música que a la palabra. Supongo que la autoridad competente lo habrá estudiado».
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				ACÚSTICA
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				Cuando un cantante pisa por primera vez un teatro, hay dos cosas que le preocupan especialmente: ¿En qué tono está afinada la orquesta? ¿Cómo es la acústica?
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				Por lo que respecta a la acústica de los teatros, existen considerables diferencias entre las salas que conozco. El cantante necesita que la voz «vuelva», aunque no demasiado ni con una excesiva intensidad. Yo he de poder oírme. Si es así, la acústica es la adecuada. Es muy duro cantar, si el sonido no regresa.
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				Por lo que respecta a la acústica de los teatros, existen considerables diferencias entre las salas que conozco. El cantante necesita que la voz «vuelva», aunque no demasiado ni con una excesiva intensidad. Yo he de poder oírme. Si es así, la acústica es la adecuada. Es muy duro cantar, si el sonido no regresa. Uno se siente inseguro porque ignora si ha emitido el suficiente volumen de voz, si la resonancia es la correcta, etc.
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				He comprobado que los antiguos coliseos de ópera disponen de una acústica mucho mejor que los modernos auditorios; quizás haya que achacar las diferencias a los distintos materiales empleados para su construcción. Desde luego, las dimensiones del teatro no tienen nada que ver con la acústica. Conozco pequeñas salas cuya acústica no puede compararse ni remotamente con la de La Scala de Milán. Pero en La Scala existe
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				He comprobado que los antiguos coliseos de ópera disponen de una acústica mucho mejor que los modernos auditorios; quizás haya que achacar las diferencias a los distintos materiales empleados para su construcción. Desde luego, las dimensiones del teatro no tienen nada que ver con la acústica. Conozco pequeñas salas cuya acústica no puede compararse ni remotamente con la de La Scala de Milán. Pero en La Scala existe además un determinado punto en el escenario, desde el que cualquier voz suena con mayor volumen y agudeza. Por supuesto, los cantantes conocen muy bien ese lugar y no hay quien arranque de ahí a
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				He comprobado que los antiguos coliseos de ópera disponen de una acústica mucho mejor que los modernos auditorios; quizás haya que achacar las diferencias a los distintos materiales empleados para su construcción. Desde luego, las dimensiones del teatro no tienen nada que ver con la acústica. Conozco pequeñas salas cuya acústica no puede compararse ni remotamente con la de La Scala de Milán. Pero en La Scala existe además un determinado punto en el escenario, desde el que cualquier voz suena con mayor volumen y agudeza. Por supuesto, los cantantes conocen muy bien ese lugar y no hay quien arranque de ahí a algunos colegas. Según se cuenta
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				muy curioso el cambio de sonido que uno experimenta al desplazarse a lo largo del escenario, cuando atraviesas el lugar consabido, diríase que alguien gira el mando del amplificador hacia arriba, para reducir el volumen acto seguido. En la Wiener Staatsoper existe una zona más amplia que la mencionada, donde la acústica es también superior a la del resto del escenario; pero la diferencia es pequeña y en modo alguno tan llamativa como la de Milán. Quisiera señalar, en general, que están en un error quienes creen que a uno se le oye mejor si canta situándose en la parte delantera del proscenio.
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				Los decorados también repercuten sobre la acústica, tanto en sentido positivo como negativo. Si el espacio escénico es cerrado, el sonido se ve facilitado. En cambio, una decoración que se expande hacia atrás, resulta francamente incómoda. E incluso el material empleado en los decorados desempeña su  papel. Para nosotros los tejidos son funestos, pero sobre todo las alfombras
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				Sin embargo, y a pesar de todos estos perjuicios, la estructura del teatro resulta en verdad decisiva. Si tuviera que establecer una ordenación jerárquica de los teatros con la mejor acústica del mundo, citaría, sin lugar a dudas: Scala de Milán, Staatsoper de Viena, Liceo de Barcelona, Teatro Colón de Buenos Aires, Nationaltheater de Munich y Teatro San Carlo de Nápoles. Por desgracia no conozco el Festspielhaus de Bayreuth, concebido por el propio Wagner y cuya acústica dicen que es fenomenal.
Carreras, José: Autobiografía. Cantar con el alma.. Barcelona: Ediciones B, 1989.	Carreras, José	Autobiografía. Cantar con el alma.	1989	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				establecer una ordenación jerárquica de los teatros con la mejor acústica del mundo, citaría, sin lugar a dudas: Scala de Milán, Staatsoper de Viena, Liceo de Barcelona, Teatro Colón de Buenos Aires, Nationaltheater de Munich y Teatro San Carlo de Nápoles. Por desgracia no conozco el Festspielhaus de Bayreuth, concebido por el propio Wagner y cuya acústica dicen que es fenomenal.
